강수	precipitation 降水
눈길을 끌다	to draw one's eye line, attention
광부	a miner 鑛夫
눈꽃	snow on the branches of trees (lit: snow flower)
거듭나다	to be reborn, reformed, to start over (verb) (지금까지의 방식이나 태도를 버리고 새롭게 시작하다)
철쭉	royal azalea
일조	sunshine 日照
국토	territory (not 영...) 國土
이전하다	to relocate (something), move 移轉
위상	status (어떤 사물이 다른 사물과의 관계 속에서 가지는 위치나 상태) 位相
목장	(more open, wider) farm for cows, horses etc 牧場
제철소	steelworks (like in 포항) 製鐵所
행사를 치르다	to host an event 行事를...
육상	athletics 陸上
명실상부하다	to be true to (one's) name, live up to reputation 名實相符
전용이다	to be exclusive (exclusive use) 專用이다
기름지다	to be fertile (land) (not 비옥)
비옥하다	to be fertile (land) 肥沃 (not 기름...)
어업	fishing industry 漁業
양식하다	to farm fish or seafood 養殖
개통되다	to be opened - used about transport links PASSIVE 開通
접근성	accessibility (personality) 接近性 
우뚝우뚝	[의태어] high up, towering 
솟다	to soar, rise up
오름	a volcanic cone (found on 제주도)
용암	lava 鎔巖
성산일출봉	volcanic tuff-cone in 제주도 城山日出峰
돌하루방	rock statues found on 제주도
삼다도	another name for Jeju - because 바람, 돌, 여자 많다 三多島
현무암	basalt (rock) 玄武巖
영남	another name for 경상남북도 嶺南
호남	another name for 전라남북도 湖南
박람회	exhibition (trade fair) 博覽會
철새	migratory bird
생태적	ecological 生態的
모래사장	sandy beach --沙場
석회암	limestone 石灰岩
종유석	stalactite (hanging down) 鍾乳石
석순	stalactite (coming up) 石筍
뽐내다	to boast, flaunt, show off
함축적	connotative, implicative (말이나 글이 속에 어떤 뜻을 담고 있는) 含蓄的
늪	a marsh, swamp
자연사박물관	natural history museum 自然史博物館
유유자적하다	to live freely and easily 悠悠自適
미학	aesthetics 美學
물길	water way / water course
쉼터	a rest area
특산물	regional specialty (product) 特産物 
발자취	footprints / traces (of history) (not 흔적)
무형문화 	intangible (no shape) culture e.g. 탈춤 無形文化
유형 문화재	tangible cultural asset (e.g. 도자기) 有形文化財
개장하다	to open (for business) 開場
연계되다	to be connected with, have links with, have a relationship with PASSIVE  連繫 (not ...결, 관...)
일대	the whole area, district 一帶
대첩	a great (military) victory 大捷
군항	a naval port 軍港
꼬막	cockles / clams (seafood)
만	bay (coastal area) 灣
갈대	reed (plant)
해넘이	sunset
주간	(a period of) a week 週間
회관	meeting hall 會館
살림살이	housekeeping (domestic budget, day-to-day living etc)
신호등	traffic lights 信號燈
양육수당	Child Benefit (support allowance) 養育手當
민간시설	private facilities 民間施設
답사	field investigation (common for school trips) 踏査 
생생하다	to be vivid 生生
홍보과	a public relations (PR) department 弘報課
철저하다	to be thorough 徹底
욕구 	desire for, appetite for 欲求
필연적	inevitable, inescapable (사물의 관련이나 일의 결과가 반드시 그렇게 될 수밖에 없는. 또는 그런 것) 必然的
어촌	fishing village 漁村
촌락	village 村落 (not 마을)
이기심	selfishness 利己心
혐오시설 	unwanted facilities (e.g. 소각장, 하수도 처리 시설) 嫌惡施設
선호시설	desired facilities (e.g. 학교, 지하철역, 공공기관) 選好施設
따지다	to care, be concerned about (not 신경을 쓰다)
폐기물	waste (materials) 廢棄物
고민거리	a source of trouble/worry 苦悶XX
논의하다	to discuss, debate, argue 論議 (not 토..)
험난하다	to be rough, difficult (situation) / to be rough (terrain) 險難
견학하다	to take a field trip to / to visit, tour 見學
총회	general meeting 總會
공감	sympathy 共感
손잡다	to join hands / to cooperate 
결의하다	to decide, resolve (뜻을 정하여 굳게 마음을 먹다) 決意
배부하다	to distribute, hand-out 配付
대청소	a big clean-up 大淸掃
창단하다	to establish, found, create (a group) 創團
